,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
268,Gryazi,0,RU,1563160477,82,52.5,39.96,286.15,1.0
269,Christchurch,38,NZ,1563160436,57,-43.53,172.64,284.82,4.1
270,Guiratinga,42,BR,1563160478,48,-16.35,-53.76,294.623,1.07
271,Dunmore,1,US,1563160478,63,41.42,-75.63,293.71,1.69
272,The Valley,75,AI,1563160478,78,18.22,-63.06,301.15,5.1
273,Peleduy,25,RU,1563160478,45,59.63,112.75,298.623,3.6
274,Bambous Virieux,40,MU,1563160479,88,-20.34,57.76,293.15,5.7
275,Vila Franca do Campo,20,PT,1563160231,77,37.72,-25.43,293.15,3.1
276,Elbistan,0,TR,1563160479,84,38.2,37.19,285.823,0.77
277,Havoysund,100,NO,1563160480,81,71.0,24.66,280.15,1.0
278,Manaure,1,CO,1563160480,78,11.78,-72.45,300.023,11.02
279,Omboue,21,GA,1563160480,86,-1.57,9.26,296.223,6.25
280,Isangel,75,VU,1563160480,69,-19.55,169.27,300.15,3.1
281,Castelldefels,40,ES,1563160481,73,41.29,1.98,297.59,2.6
282,Sao Domingos,0,BR,1563160481,43,-13.4,-46.32,291.623,0.86
283,Chumikan,70,RU,1563160481,70,54.72,135.31,292.223,2.8
284,Jizan,40,SA,1563160482,55,16.89,42.56,306.15,1.5
285,Tasiilaq,100,GL,1563160482,70,65.61,-37.64,281.15,3.6
286,Xuanzhou,20,CN,1563160482,65,30.95,118.78,302.423,2.72
287,Coxim,0,BR,1563160482,49,-18.5,-54.75,296.023,1.35
288,Remanso,0,BR,1563160483,68,-9.62,-42.08,295.223,2.45
289,Derzhavinsk,100,KZ,1563160483,36,51.1,66.31,299.223,6.99
290,Imbituba,75,BR,1563160215,82,-28.24,-48.67,289.15,6.2
291,Mar del Plata,41,AR,1563160483,76,-46.43,-67.52,277.023,5.73
292,Codrington,0,AU,1563160484,33,-28.95,153.24,291.15,8.2
293,Merauke,100,ID,1563160484,81,-8.49,140.4,298.423,10.53
294,La Asuncion,100,AR,1563160484,94,-26.05,-65.39,280.823,0.85
295,Svetlaya,100,RU,1563160484,91,46.54,138.33,287.223,1.46
296,Marsa Matruh,0,EG,1563160485,88,31.35,27.25,296.15,1.5
297,Dzaoudzi,90,YT,1563160485,73,-12.79,45.27,298.15,7.2
298,Garden City,40,US,1563160485,38,43.62,-116.24,304.15,9.8
299,Pangai,40,TO,1563160485,69,-19.8,-174.35,299.15,7.2
300,Princeton,1,US,1563160390,42,40.35,-74.66,300.15,2.6
301,Ciudad Bolivar,0,VE,1563160486,74,8.12,-63.55,299.023,3.3
302,Emerald,100,AU,1563160486,34,-23.53,148.16,290.93,3.1
303,Olga,1,US,1563160486,53,34.11,-118.17,302.15,3.6
304,Bintulu,75,MY,1563160487,83,3.17,113.03,302.15,2.6
305,Bahia Honda,20,CU,1563160487,78,22.9,-83.16,302.023,8.72
306,Itarema,69,BR,1563160487,95,-2.92,-39.92,295.823,1.71
307,Saint Marys,75,US,1563160487,77,41.43,-78.56,292.15,1.31
308,Kiama,0,AU,1563160488,33,-34.67,150.86,290.37,6.2
309,Antofagasta,75,CL,1563160488,76,-23.65,-70.4,285.15,3.1
310,Honiara,75,SB,1563160489,83,-9.43,159.96,301.15,2.6
311,Atar,93,MR,1563160489,21,20.52,-13.05,306.223,3.06
312,Deputatskiy,0,RU,1563160489,37,69.3,139.9,286.623,4.21
313,Ouegoa,100,NC,1563160490,81,-20.34,164.44,295.223,7.07
314,Olinda,75,AU,1563160490,71,-37.84,145.39,286.48,9.3
315,Svetlogorsk,75,RU,1563160490,56,53.14,59.15,294.15,2.0
316,Marsh Harbour,1,BS,1563160490,72,26.54,-77.06,302.223,5.11
317,Lompoc,75,US,1563160299,87,34.64,-120.46,296.15,4.6
318,Narsaq,0,GL,1563160491,71,60.91,-46.05,283.15,0.5
319,Pevek,100,RU,1563160491,97,69.7,170.27,274.223,7.15
320,Bilibino,98,RU,1563160491,84,68.06,166.44,283.823,2.75
321,Alta Floresta,0,BR,1563160491,49,-9.87,-56.08,294.623,1.35
322,Port Shepstone,0,ZA,1563160492,26,-30.74,30.45,288.423,1.38
323,Deder,51,ET,1563160492,68,9.31,41.44,294.423,3.03
324,Sao Miguel,7,BR,1563160492,96,4.52,-61.01,291.423,0.82
325,Takoradi,0,GH,1563160493,94,4.89,-1.75,294.823,1.51
326,Hokitika,100,NZ,1563160493,74,-42.72,170.96,283.023,7.82
327,Hami,95,CN,1563160493,15,42.84,93.51,304.223,5.07
328,Nurota,0,UZ,1563160494,25,40.56,65.69,303.15,2.1
329,Makakilo City,40,US,1563160219,48,21.35,-158.09,304.15,7.2
330,Kungurtug,67,RU,1563160494,70,50.6,97.53,290.023,1.76
331,Yeppoon,100,AU,1563160325,24,-23.13,150.74,292.15,7.2
332,Kutum,99,SD,1563160495,56,14.2,24.66,297.823,4.96
333,Rome,0,IT,1563160122,64,41.89,12.48,297.15,2.1
334,Kudat,75,MY,1563160495,74,6.89,116.84,302.15,2.1
335,Bhatkal,90,IN,1563160291,80,13.97,74.57,299.823,0.67
336,Saint-Pierre,90,FR,1563160496,87,48.95,4.24,287.15,4.1
337,Vaasa,20,FI,1563160496,87,63.1,21.62,285.37,1.0
338,Sicamous,90,CA,1563160496,56,50.84,-118.99,294.15,3.1
339,Uvalde,1,US,1563160372,46,29.21,-99.79,305.37,2.1
340,Basar,90,IN,1563160496,100,27.98,94.69,297.15,3.1
341,Grindavik,90,IS,1563160497,100,63.84,-22.43,287.59,8.2
342,Waki,40,JP,1563160497,61,34.19,132.21,301.15,2.1
343,Valdivia,40,CL,1563160352,100,-39.81,-73.25,278.15,1.0
344,Groningen,90,NL,1563160497,82,53.22,6.57,287.15,2.6
345,Cherdyn,100,RU,1563160498,93,60.4,56.48,287.423,2.27
346,Mahebourg,40,MU,1563160498,88,-20.41,57.7,293.15,5.7
347,Araouane,19,ML,1563160498,26,18.9,-3.53,307.823,2.11
348,Segou,3,SN,1563160498,95,12.41,-12.29,296.623,3.17
349,Skovorodino,98,RU,1563160499,81,53.99,123.94,294.423,3.58
350,Kyabe,100,TD,1563160499,94,9.45,18.94,295.823,1.99
351,Rauma,100,FI,1563160499,87,61.13,21.5,284.15,2.1
352,Norfolk,1,US,1563160500,94,36.85,-76.29,302.15,2.42
353,Faya,80,SA,1563160500,68,18.39,42.45,299.15,2.1
354,Marienburg,75,DE,1563160500,87,52.12,9.98,287.15,2.1
355,Mayumba,99,GA,1563160500,92,-3.44,10.65,294.623,2.13
356,Kuito,0,AO,1563160501,40,-12.38,16.94,282.823,1.68
357,Sinegorye,9,RU,1563160501,33,62.09,150.53,300.623,1.59
358,Bundaberg,73,AU,1563160501,23,-24.87,152.35,293.71,8.2
359,Luderitz,0,NA,1563160501,93,-26.65,15.16,282.15,2.6
360,Aksu,0,KZ,1563160502,57,52.04,76.93,297.15,5.0
361,Sobolevo,100,RU,1563160502,90,54.43,31.9,284.623,0.63
362,Vardo,1,US,1563160502,83,39.62,-77.74,300.15,1.5
363,Putina,0,PE,1563160503,62,-14.91,-69.87,274.623,0.19
364,Nouadhibou,75,MR,1563160208,88,20.93,-17.03,293.15,10.3
365,Norman Wells,75,CA,1563160503,77,65.28,-126.83,291.15,2.6
366,Barra do Garcas,1,BR,1563160503,49,-15.89,-52.26,293.223,0.43
367,Iskateley,96,RU,1563160504,82,67.68,53.15,283.023,1.81
368,Baykit,66,RU,1563160504,61,61.68,96.39,293.223,4.12
369,Abu Samrah,0,SY,1563160504,86,35.3,37.18,291.423,3.74
370,Tarko-Sale,0,RU,1563160504,62,64.92,77.78,300.93,6.61
371,Phan Thiet,50,VN,1563160233,52,10.93,108.1,304.823,4.58
372,Talcahuano,0,CL,1563160505,93,-36.72,-73.12,280.15,1.5
373,Bollnas,99,SE,1563160217,72,61.35,16.39,282.223,3.82
374,Ballitoville,0,ZA,1563160505,93,-29.54,31.21,288.71,0.5
375,Nuuk,10,GL,1563160505,54,64.17,-51.74,285.15,2.1
376,Iralaya,100,HN,1563160506,93,15.0,-83.23,297.623,1.07
377,Ormara,95,PK,1563160506,73,25.21,64.64,301.023,7.15
378,Burnie,100,AU,1563160506,72,-41.05,145.91,284.26,1.79
379,Zhanaozen,0,KZ,1563160506,55,43.35,52.85,294.023,5.65
380,Springbok,0,ZA,1563160507,91,-29.67,17.88,279.623,0.73
381,San Patricio,100,PY,1563160507,95,-26.98,-56.83,288.823,2.34
382,Ponta Delgada,20,PT,1563160507,77,37.73,-25.67,293.15,3.1
383,Houston,40,US,1563160347,70,29.76,-95.37,302.59,3.1
384,Rocha,71,UY,1563160508,93,-34.48,-54.34,278.423,1.27
385,Chokurdakh,100,RU,1563160508,66,70.62,147.9,279.023,6.25
386,Flinders,0,AU,1563160508,46,-34.58,150.85,290.37,6.2
387,Srednekolymsk,100,RU,1563160508,65,67.46,153.71,286.223,2.73
388,Nikolskoye,0,RU,1563160509,81,59.7,30.79,284.82,1.05
389,Gillette,1,US,1563160509,54,44.29,-105.5,300.15,2.6
390,Monroe,1,US,1563160509,100,41.91,-83.4,297.15,0.79
391,Ust-Nera,87,RU,1563160510,57,64.57,143.24,291.223,3.8
392,Pimentel,28,BR,1563160510,93,-3.7,-45.5,294.823,1.08
393,Stralsund,90,DE,1563160510,93,54.31,13.08,288.15,2.6
394,Am Timan,100,TD,1563160510,94,11.04,20.28,294.823,4.6
395,Grootfontein,0,NA,1563160511,55,-19.56,18.1,276.623,1.69
396,Neuquen,0,AR,1563160222,49,-38.95,-68.06,282.15,5.1
397,Igarka,99,RU,1563160511,77,67.47,86.57,289.223,4.4
398,Ahuimanu,20,US,1563160512,78,21.44,-157.84,304.15,4.6
399,Sakaraha,0,MG,1563160512,75,-22.91,44.53,285.623,0.96
400,Cockburn Town,100,TC,1563160512,78,21.46,-71.14,301.223,9.35
401,Komsomolskiy,100,RU,1563160513,93,67.55,63.78,282.223,7.01
402,Cruz Grande,75,MX,1563160513,78,16.72,-99.13,301.15,3.6
403,Coquimbo,0,CL,1563160513,71,-29.95,-71.34,283.15,1.5
404,Attur,100,IN,1563160514,74,11.6,78.6,299.423,3.34
405,Galle,100,GN,1563160514,98,10.08,-12.83,294.423,1.05
406,Strezhevoy,0,RU,1563160514,60,60.73,77.6,297.15,2.0
407,Ilhabela,0,BR,1563160514,64,-23.78,-45.36,296.823,4.18
408,Vega de Alatorre,53,MX,1563160515,92,20.03,-96.65,297.023,1.1
409,Vanimo,100,PG,1563160515,69,-2.67,141.3,301.223,1.82
410,Mitsamiouli,61,KM,1563160516,68,-11.38,43.28,298.223,6.09
411,Nador,0,MA,1563160444,44,35.17,-2.93,299.15,5.7
412,Cabinda,20,AO,1563160516,92,-5.56,12.19,295.223,3.5
413,Xuddur,16,SO,1563160516,83,4.12,43.89,294.223,6.19
414,Havelock,1,US,1563160517,83,34.88,-76.9,301.48,1.5
415,Kiunga,78,PG,1563160517,94,-6.12,141.3,298.223,3.07
416,Roald,99,NO,1563160517,87,62.58,6.12,283.71,1.5
417,Rock Sound,7,BS,1563160306,76,24.9,-76.2,301.823,5.72
418,Townsville,0,AU,1563160517,16,-19.26,146.82,294.15,4.6
419,Vagur,99,FO,1563160518,97,61.47,-6.81,284.223,4.48
420,San Quintin,40,PH,1563160518,63,17.54,120.52,303.823,1.83
421,Blind River,1,CA,1563160518,60,46.19,-82.96,293.15,2.6
422,Llangefni,0,GB,1563160519,93,53.26,-4.31,288.71,2.1
423,Fort Nelson,40,CA,1563160519,43,58.81,-122.69,296.15,1.5
424,La Brea,40,TT,1563160519,94,10.24,-61.62,298.15,3.91
425,Port Moresby,75,PG,1563160520,94,-9.47,147.16,298.15,7.7
426,Tautira,40,PF,1563160520,69,-17.73,-149.15,300.15,5.7
427,Charters Towers,94,AU,1563160520,28,-20.07,146.27,290.623,7.1
428,Sept-Iles,90,CA,1563160521,100,50.2,-66.38,286.48,1.5
429,Jimeta,100,NG,1563160521,94,9.28,12.44,295.623,1.95
430,Nome,75,US,1563160521,94,30.04,-94.42,302.59,6.7
431,Solnechnyy,93,RU,1563160521,90,50.72,136.64,294.423,1.32
432,Svit,20,SK,1563160522,93,49.06,20.2,282.04,5.1
433,Balkanabat,4,TM,1563160522,47,39.51,54.36,301.623,4.47
434,Pringsewu,1,ID,1563160522,56,-5.36,104.98,301.423,1.46
435,Pouebo,100,NC,1563160522,67,-20.4,164.57,295.823,2.28
436,Gwadar,79,PK,1563160523,83,25.12,62.33,301.423,5.39
437,Barahona,98,DO,1563160523,79,18.21,-71.1,296.623,1.44
438,Presidente Dutra,51,BR,1563160287,71,-5.29,-44.49,295.023,0.52
439,Port Hardy,75,CA,1563160523,77,50.7,-127.42,291.15,4.1
440,Mana,93,NG,1563160524,51,13.03,5.27,303.223,3.77
441,Waingapu,25,ID,1563160524,58,-9.65,120.26,299.223,8.23
442,Porbandar,40,IN,1563160525,79,21.64,69.61,303.15,5.1
443,Nenjiang,15,CN,1563160525,77,49.17,125.23,297.023,4.01
444,Lagoa,0,PT,1563160525,77,37.14,-8.45,293.15,3.1
445,Patti,40,IN,1563160525,83,31.28,74.86,299.15,4.17
446,Khash,0,IR,1563160526,9,28.22,61.21,298.823,2.87
447,Sapa,75,PH,1563160526,79,14.32,120.76,302.15,1.0
448,Obo,100,CF,1563160526,96,5.39,26.49,292.423,0.12
449,Suez,0,EG,1563160526,71,29.97,32.54,295.623,3.76
450,Miyako,20,JP,1563160527,65,33.63,130.94,301.15,5.1
451,Clyde River,75,CA,1563160527,93,70.47,-68.59,276.15,5.7
452,Aromashevo,17,RU,1563160527,84,56.86,68.64,296.223,4.12
453,Three Hills,75,CA,1563160489,68,51.7,-113.27,292.15,4.1
454,Reims,90,FR,1563160528,82,49.26,4.03,287.15,2.1
455,Boa Vista,20,BR,1563160528,69,2.82,-60.67,301.15,1.5
456,Broome,90,GB,1563160528,100,52.47,1.45,287.59,2.16
457,Caborca,4,MX,1563160528,44,30.58,-111.1,307.04,1.34
458,Nelson Bay,0,AU,1563160529,29,-32.72,152.14,290.37,9.3
459,Tarauaca,87,BR,1563160276,93,-8.16,-70.77,295.823,0.72
460,Kropotkin,17,RU,1563160529,69,45.43,40.58,291.023,3.59
461,Camacha,75,PT,1563160530,82,33.08,-16.33,294.15,5.7
462,Czersk,71,PL,1563160530,78,53.8,17.98,285.93,1.67
463,Timbuktu,100,ML,1563160530,36,16.77,-3.01,306.423,6.17
464,Praia da Vitoria,20,PT,1563160530,64,38.73,-27.07,296.15,3.52
465,Tema,0,GH,1563160531,83,5.66,-0.01,298.15,4.6
466,Campbell River,90,CA,1563160502,64,50.02,-125.24,294.15,2.1
467,Lixourion,0,GR,1563160531,77,38.2,20.43,294.15,7.21
468,Yingkou,15,CN,1563160531,51,40.67,122.24,302.623,1.91
469,Quatre Cocos,75,MU,1563160532,88,-20.21,57.76,293.15,5.7
470,Hualmay,36,PE,1563160532,86,-11.1,-77.61,289.623,7.76
471,Hobyo,71,SO,1563160532,66,5.35,48.53,298.423,8.23
472,Nizhneudinsk,100,RU,1563160532,97,54.91,99.03,286.223,2.97
473,Guarapari,0,BR,1563160533,82,-20.67,-40.5,293.15,0.5
474,Gat,0,SN,1563160533,83,14.69,-16.54,298.15,2.6
475,De Panne,100,BE,1563160533,67,51.1,2.59,288.71,3.6
476,Talnakh,75,RU,1563160534,93,69.49,88.39,286.15,7.0
477,Caraquet,90,CA,1563160534,88,47.79,-64.94,290.15,3.6
478,Kostyantynivka,28,UA,1563160534,75,48.53,37.71,289.623,1.2
479,Pacifica,1,US,1563160535,82,37.61,-122.49,294.26,6.2
480,Ceuta,99,MX,1563160535,84,23.9,-106.93,302.59,2.24
481,Isla Mujeres,75,MX,1563160535,79,21.23,-86.73,302.15,1.5
482,Dicabisagan,86,PH,1563160535,76,17.08,122.42,302.223,1.78
483,Karacakoy,75,TR,1563160536,88,41.4,28.38,291.15,6.7
484,Amapa,75,HN,1563160536,78,15.09,-87.97,301.15,3.6
485,Plouzane,0,FR,1563160536,76,48.38,-4.62,289.26,4.1
486,Eenhana,0,NA,1563160537,22,-17.48,16.34,286.15,1.0
487,Iguape,78,BR,1563160537,94,-24.7,-47.56,291.823,2.03
488,Mecca,0,SA,1563160425,37,21.43,39.83,300.423,2.18
489,Sesheke,68,NA,1563160537,74,-17.47,24.29,276.15,2.1
490,Tuatapere,75,NZ,1563160537,76,-46.13,167.69,281.48,0.45
491,Albina,36,GF,1563160538,98,5.5,-54.06,295.623,1.06
492,Biloela,70,AU,1563160538,37,-24.4,150.51,289.823,8.78
493,Egvekinot,100,RU,1563160538,92,66.32,-179.17,283.023,5.43
494,Penticton,75,CA,1563160538,36,49.49,-119.59,299.15,1.0
495,Darnah,0,LY,1563160539,83,32.77,22.64,298.623,6.0
496,Sibolga,92,ID,1563160539,76,1.74,98.78,300.423,2.05
497,Longview,90,US,1563160539,83,32.5,-94.74,297.15,1.5
498,Bonavista,100,CA,1563160540,83,48.65,-53.11,283.15,3.58
499,Charlestown,1,US,1563160540,57,41.38,-71.64,299.15,2.1
500,Saulkrasti,0,LV,1563160540,100,57.26,24.42,284.26,3.76
501,Doclin,8,RO,1563160540,100,45.3,21.65,288.71,0.5
502,Aasiaat,0,GL,1563160541,69,68.71,-52.87,277.823,1.31
503,Salalah,90,OM,1563160541,100,17.01,54.1,298.15,2.6
504,Zihuatanejo,75,MX,1563160541,78,17.64,-101.55,301.15,1.0
505,Corrente,0,BR,1563160542,45,-17.45,-44.68,289.223,0.54
506,Mabaruma,25,GY,1563160542,97,8.2,-59.78,295.223,0.61
507,Beyneu,0,KZ,1563160543,48,45.32,55.19,296.023,7.2
508,Dunedin,45,NZ,1563160543,70,-45.87,170.5,283.15,7.15
509,San Rafael,0,AR,1563160454,43,-34.61,-68.33,282.223,5.14
510,Agua Branca,0,BR,1563160543,69,-5.89,-42.63,296.023,1.51
511,Okha,72,RU,1563160544,71,53.59,142.95,291.623,6.5
512,Barcelos,99,BR,1563160544,96,-0.97,-62.93,295.823,0.88
513,Port-Gentil,100,GA,1563160544,85,-0.72,8.78,297.223,7.5
514,Perth,0,AU,1563160334,48,-31.95,115.86,290.93,6.7
515,Panjab,0,AF,1563160545,28,34.38,67.02,286.023,7.14
516,Riacho de Santana,0,BR,1563160545,45,-13.61,-42.94,292.423,1.79
517,Iquique,90,CL,1563160317,72,-20.22,-70.14,289.15,2.1
518,Sijunjung,63,ID,1563160545,84,-0.69,100.95,296.823,0.8
519,Camopi,67,GF,1563160546,99,3.17,-52.33,294.423,0.5
520,Tiradentes,4,BR,1563160546,49,-18.95,-49.46,293.423,1.83
521,Marzuq,9,YE,1563160546,61,14.4,46.47,295.623,2.77
522,Kolokani,0,ML,1563160547,67,13.58,-8.03,299.023,1.65
523,Azul,67,AR,1563160411,81,-36.78,-59.86,281.48,0.89
524,Haverfordwest,28,GB,1563160547,87,51.8,-4.97,290.93,2.6
525,Pangnirtung,44,CA,1563160547,54,66.15,-65.72,282.823,1.08
526,Mittersill,40,AT,1563160547,100,47.28,12.48,283.71,2.1
527,Lethem,3,GY,1563160548,73,3.38,-59.8,299.023,1.74
528,Smirnykh,100,RU,1563160548,64,49.74,142.83,291.623,1.41
529,Naryan-Mar,96,RU,1563160548,82,67.67,53.09,283.023,1.81
530,Port Hedland,0,AU,1563160548,19,-20.31,118.58,297.15,9.3
531,Bumba,42,CD,1563160549,98,2.18,22.47,293.623,0.92
532,Asekeyevo,100,RU,1563160549,91,53.57,52.8,288.223,5.78
533,Roebourne,0,AU,1563160549,18,-20.77,117.15,296.423,10.46
534,Auki,100,NG,1563160549,78,12.18,6.51,297.623,5.95
535,Mehamn,100,NO,1563160550,86,71.03,27.85,279.223,4.12
